height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.15,2000,3,0.5316549604484829,0.5916921216810331,2.8798139095306396,70,0.4716177992159327,0.5916921216810331
0.15,2100,3,0.5667311976504692,0.6234900663195314,1.2285819053649902,70,0.5099723289814071,0.6234900663195314
0.15,2200,3,0.60541855982341,0.6797624871373883,1.1792163848876953,70,0.5310746325094317,0.6797624871373883
0.15,2300,3,0.6248375170127987,0.6978814877811645,1.228440284729004,70,0.5517935462444328,0.6978814877811645
0.15,2400,3,0.6546490496013428,0.7082114606526924,1.1822144985198975,70,0.6010866385499934,0.7082114606526924
0.15,2500,3,0.6954515583302597,0.7353174287501172,1.1733160018920898,70,0.6555856879104023,0.7353174287501172
0.15,2600,3,0.7108749974561166,0.7722133387262342,1.176910161972046,70,0.6495366561859989,0.7722133387262342
0.15,2700,3,0.6966246271935048,0.7701213552602671,1.1772382259368896,70,0.6231278991267425,0.7701213552602671
0.15,2800,3,0.6858138567397492,0.7413760098090659,1.2703769207000732,70,0.6302517036704323,0.7413760098090659
0.15,2900,3,0.6618312367647388,0.7070423698188224,1.1876966953277588,70,0.6166201037106552,0.7070423698188224
0.15,3000,3,0.6376196700640107,0.6859193623194036,1.176330804824829,70,0.5893199778086177,0.6859193623194036
0.15,3100,3,0.6088219994318969,0.6491334789397234,1.1742355823516846,70,0.5685105199240703,0.6491334789397234
0.15,2000,4,0.5745786194448159,0.6280074525627443,1.196824550628662,70,0.5211497863268876,0.6280074525627443
0.15,2100,4,0.6059014720230997,0.6506439800386812,1.1952121257781982,70,0.5611589640075184,0.6506439800386812
0.15,2200,4,0.6254706422231382,0.6907501036522281,1.1870810985565186,70,0.5601911807940483,0.6907501036522281
0.15,2300,4,0.6544748754234475,0.7058624594132751,1.1905603408813477,70,0.6030872914336198,0.7058624594132751
0.15,2400,4,0.6887870612113544,0.7226325392476742,1.2357280254364014,70,0.6549415831750345,0.7226325392476742
0.15,2500,4,0.7121839083134414,0.7341642478150171,1.185765027999878,70,0.6902035688118656,0.7341642478150171
0.15,2600,4,0.7198189770292203,0.7584809682816659,1.1861059665679932,70,0.6811569857767746,0.7584809682816659
0.15,2700,4,0.702112094744819,0.7491042096637907,1.1877543926239014,70,0.6551199798258474,0.7491042096637907
0.15,2800,4,0.6905852377837418,0.713441235386707,1.219228982925415,70,0.6677292401807765,0.713441235386707
0.15,2900,4,0.6659119608773705,0.684885100345648,1.3153293132781982,70,0.6469388214090929,0.684885100345648
0.15,3000,4,0.6509139496561451,0.6786099331744271,1.1915614604949951,70,0.6232179661378631,0.6786099331744271
0.15,3100,4,0.6261559149722897,0.633315122884805,1.1792211532592773,70,0.6189967070597746,0.633315122884805
0.15,2000,5,0.5771497093089335,0.6050301913382425,1.2108955383300781,70,0.5492692272796244,0.6050301913382425
0.15,2100,5,0.6188480717081835,0.6348791598346295,1.1967499256134033,70,0.6028169835817375,0.6348791598346295
0.15,2200,5,0.6381997183592565,0.6768175513932977,1.270336389541626,70,0.5995818853252152,0.6768175513932977
0.15,2300,5,0.663884651329154,0.6979866678577901,1.1989350318908691,70,0.6297826348005179,0.6979866678577901
0.15,2400,5,0.7033917834372185,0.7308524212429495,1.3564162254333496,70,0.6759311456314875,0.7308524212429495
0.15,2500,5,0.7188936606611105,0.7453963001787504,1.2105841636657715,70,0.6923910211434706,0.7453963001787504
0.15,2600,5,0.7321245356633628,0.7695750256034416,1.1978914737701416,70,0.6946740457232838,0.7695750256034416
0.15,2700,5,0.7148282081046478,0.7633018577967671,1.1986939907073975,70,0.6663545584125283,0.7633018577967671
0.15,2800,5,0.7117940651294574,0.7305069823585798,1.2085340023040771,70,0.6930811479003351,0.7305069823585798
0.15,2900,5,0.6799354598795087,0.6998410590402963,1.1860380172729492,70,0.660029860718721,0.6998410590402963
0.15,3000,5,0.6560457145398539,0.6764686876403938,1.2077491283416748,70,0.6356227414393142,0.6764686876403938
0.15,3100,5,0.6374959119994015,0.6375441427794204,1.192380666732788,70,0.6374476812193824,0.6375441427794204
